Root Cause,Action Taken
Tilting apron low position proximity signal cable was teared at connector inside & caused the problem.,We fixed the cable & connector & then ok.
Flapper device down lately & caused the problem,We just checked flapper's solenoid valve coil & connector.
HMD-4 signal was flickered due to excess fume was around the HMD.,We checked all HMD signal related with automatic billet call.
HMD 4 signal flickering at tail position.,We just checked HMD sensing point water flow.
CB outlet light barrier was continuous as it got displaced.,We adjusted the light barrier position & then ok.
Forward/Backward displacement sensor was faulty.,We changed the sensor by anew one & the problem was solved.
"HMD-4 signal was flickered
 & caused the problem.","We just check & clean the 
HMD front glass."
"FM grease station Logo
 Extension Relay modules were faulty.",We had to change them. Also mechanical team changed the faulty roll by a new one
Apron couldn't being down fully  & this caused low position proximity signal missing.,"We checked apron low position proximity , target plate & connection. All were found ok. There after we just take ghost rolling & restarted the mill."
We sprayed water on looper-3 to remove scale & this time water was fallen on loop scanner-3 & caused the problem.,We checked the sensing point air line and cleaned the loop scanner.
Temperature controller malfunctioning was happened.,We changed the temperature controller.
We found pusher both proximity signal high as pusher rear proximity got damage by target plate hit.,We changed the faulty pusher proximity by a new one & then ok.
"QTB pump was tripped 
due to over temperature from front bearing side.","We kept off the motor-1 & 
turned on motor-2 immediately to compensate the pressure drop."
Water flow was more than design (840m3/h). So pressure dropped.,Reduced flow in QTB and restarted pump again.
Bar remain on apron and next layer hit. There.,Production team adjust sh 3 pinch roll. We also checked apron cycle & shear 3 related all signals.
We did not find any significant abnormality.,We reset the drive & restarted the mill.
Controller malfunctioning happened at that time.,We just monitored motor temperature physically as well as controller temperature.
Stand motor-18 drive side bearing got damaged.,We changed stand 18 motor by a new one.
HMD-4 signal was flickered due to dust deposited on sensor glass.,We cleaned it & then ok.
Stand motor cooling fan motor was jam & caused breaker trip.,We replaced the faulty motor by a new one & then ok.
Connecting pin pressure switch was faulty.,We kept bypass the signal.
Motor-2 terminal cable was shorted with body. Also This roller table 24V cable was loosely connected at the BOP2 panel.,We fixed the motor-2 terminal cable & tightened the 24V cable at BOP2 panel.
Orating arm sec-2 home position proximity sensor target plate got displaced.,We adjust home position proximity sensor target plate & then problem was solved.
Rotating arm sec-1 was stuck somewhere & caused the problem.,We rotating arm home position proximity & target plate. Mechanical team also checked.
Stand#8 motor cooling fan motor was tripped.,We checked current taken by the motor & found normal. Hence we reset the breaker.
CH-7 & CH-8 connection were wrong.,We reconnected them correctly & then problem was solved.
0,0
We found that moxa ether device got damaged.,So we replaced it.
Actual reason couldn't find out.,We checked FM all HMD & stand-18 all signal.
